MonthYear,Domain,DQDimension,DQScore,RecordsChecked,IssueCount
2023-01,Client Master,Completeness,94.32,202616,273
2023-01,Client Master,Uniqueness,91.48,685179,324
2023-01,Client Master,Validity,85.07,320226,630
2023-01,Client Master,Timeliness,92.95,126298,245
2023-01,Client Master,Consistency,94.68,1441389,195
2023-01,Policy Admin,Completeness,90.23,646703,416
2023-01,Policy Admin,Uniqueness,87.66,1361131,517
2023-01,Policy Admin,Validity,91.55,1418025,474
2023-01,Policy Admin,Timeliness,91.77,1280971,160
2023-01,Policy Admin,Consistency,89.23,1245247,384
2023-01,Claims,Completeness,84.8,959206,610
2023-01,Claims,Uniqueness,85.74,320044,546
2023-01,Claims,Validity,86.89,1128535,480
2023-01,Claims,Timeliness,86.46,859449,473
2023-01,Claims,Consistency,89.13,113036,172
2023-01,Advisor,Completeness,94.72,458652,72
2023-01,Advisor,Uniqueness,96.62,620999,201
2023-01,Advisor,Validity,93.96,311805,185
2023-01,Advisor,Timeliness,96.48,719140,0
2023-01,Advisor,Consistency,96.15,443199,197
2023-01,Employer,Completeness,86.36,1096428,555
2023-01,Employer,Uniqueness,90.68,740113,486
2023-01,Employer,Validity,88.74,754883,304
2023-01,Employer,Timeliness,92.72,1487214,306
2023-01,Employer,Consistency,90.08,288300,203
2023-01,Transactions,Completeness,89.37,1064191,369
2023-01,Transactions,Uniqueness,90.77,1041653,447
2023-01,Transactions,Validity,89.02,1095931,420
2023-01,Transactions,Timeliness,84.48,600039,468
2023-01,Transactions,Consistency,84.71,231958,521
2023-02,Client Master,Completeness,94.45,1208940,249
2023-02,Client Master,Uniqueness,88.2,602100,207
2023-02,Client Master,Validity,91.24,814893,330
2023-02,Client Master,Timeliness,93.61,162093,179
2023-02,Client Master,Consistency,93.19,1501196,148
2023-02,Policy Admin,Completeness,91.15,1533260,92
2023-02,Policy Admin,Uniqueness,90.62,924130,222
2023-02,Policy Admin,Validity,90.16,1421922,592
2023-02,Policy Admin,Timeliness,92.17,1359953,457
2023-02,Policy Admin,Consistency,88.87,1023990,461
2023-02,Claims,Completeness,90.24,195821,155
2023-02,Claims,Uniqueness,85.03,1413287,630
2023-02,Claims,Validity,88.06,129157,651
2023-02,Claims,Timeliness,87.96,233548,613
2023-02,Claims,Consistency,84.67,1554311,640
2023-02,Advisor,Completeness,92.05,906151,197
2023-02,Advisor,Uniqueness,97.43,221283,158
2023-02,Advisor,Validity,96.27,1313593,167
2023-02,Advisor,Timeliness,95.15,525412,98
2023-02,Advisor,Consistency,97.0,246250,161
2023-02,Employer,Completeness,86.43,231436,570
2023-02,Employer,Uniqueness,90.91,759983,449
2023-02,Employer,Validity,89.98,717316,267
2023-02,Employer,Timeliness,92.22,369852,285
2023-02,Employer,Consistency,95.27,693899,303
2023-02,Transactions,Completeness,88.0,1546786,684
2023-02,Transactions,Uniqueness,88.41,1154076,359
2023-02,Transactions,Validity,88.83,775372,658
2023-02,Transactions,Timeliness,81.16,639862,645
2023-02,Transactions,Consistency,85.61,1346754,598
2023-03,Client Master,Completeness,92.08,915995,570
2023-03,Client Master,Uniqueness,93.27,930024,232
2023-03,Client Master,Validity,85.09,887456,444
2023-03,Client Master,Timeliness,90.54,1076660,362
2023-03,Client Master,Consistency,94.17,212718,31
2023-03,Policy Admin,Completeness,92.07,1033074,383
2023-03,Policy Admin,Uniqueness,91.59,1181322,311
2023-03,Policy Admin,Validity,91.39,594693,311
2023-03,Policy Admin,Timeliness,89.23,1342059,220
2023-03,Policy Admin,Consistency,89.26,526862,618
2023-03,Claims,Completeness,87.91,1541865,210
2023-03,Claims,Uniqueness,86.59,293015,582
2023-03,Claims,Validity,84.27,930652,641
2023-03,Claims,Timeliness,85.69,1577297,400
2023-03,Claims,Consistency,88.25,376457,425
2023-03,Advisor,Completeness,95.59,1446471,274
2023-03,Advisor,Uniqueness,96.39,267963,214
2023-03,Advisor,Validity,97.04,426101,80
2023-03,Advisor,Timeliness,91.59,495644,252
2023-03,Advisor,Consistency,97.27,515875,260
2023-03,Employer,Completeness,84.77,918647,440
2023-03,Employer,Uniqueness,89.47,571213,358
2023-03,Employer,Validity,92.23,457150,360
2023-03,Employer,Timeliness,87.33,828485,544
2023-03,Employer,Consistency,90.15,649661,307
2023-03,Transactions,Completeness,86.23,1534048,413
2023-03,Transactions,Uniqueness,86.87,1202083,635
2023-03,Transactions,Validity,89.94,101976,298
2023-03,Transactions,Timeliness,86.4,1592478,620
2023-03,Transactions,Consistency,85.45,888065,735
2023-04,Client Master,Completeness,95.61,497861,32
2023-04,Client Master,Uniqueness,89.44,1305043,347
2023-04,Client Master,Validity,92.76,335894,359
2023-04,Client Master,Timeliness,93.92,1024292,221
2023-04,Client Master,Consistency,94.02,222581,200
2023-04,Policy Admin,Completeness,90.52,721181,286
2023-04,Policy Admin,Uniqueness,89.73,390875,358
2023-04,Policy Admin,Validity,89.3,230530,460
2023-04,Policy Admin,Timeliness,93.2,959861,327
2023-04,Policy Admin,Consistency,92.73,1186566,308
2023-04,Claims,Completeness,88.27,1476132,502
2023-04,Claims,Uniqueness,89.88,762387,290
2023-04,Claims,Validity,89.22,1243363,369
2023-04,Claims,Timeliness,88.28,605285,374
2023-04,Claims,Consistency,85.51,1243475,295
2023-04,Advisor,Completeness,95.29,1567538,0
2023-04,Advisor,Uniqueness,94.37,833121,448
2023-04,Advisor,Validity,97.67,1021771,132
2023-04,Advisor,Timeliness,95.88,1531325,134
2023-04,Advisor,Consistency,88.19,1209662,352
2023-04,Employer,Completeness,90.36,93891,391
2023-04,Employer,Uniqueness,89.49,1361668,192
2023-04,Employer,Validity,89.9,1579943,408
2023-04,Employer,Timeliness,91.15,519892,517
2023-04,Employer,Consistency,89.84,332326,480
2023-04,Transactions,Completeness,86.04,710239,380
2023-04,Transactions,Uniqueness,86.98,650549,596
2023-04,Transactions,Validity,89.02,235131,567
2023-04,Transactions,Timeliness,83.06,932601,447
2023-04,Transactions,Consistency,86.87,93577,539
2023-05,Client Master,Completeness,90.97,703459,312
2023-05,Client Master,Uniqueness,91.04,1447198,307
2023-05,Client Master,Validity,92.43,1193647,378
2023-05,Client Master,Timeliness,85.48,1376908,366
2023-05,Client Master,Consistency,91.16,1279732,217
2023-05,Policy Admin,Completeness,89.71,1315585,394
2023-05,Policy Admin,Uniqueness,86.78,627915,284
2023-05,Policy Admin,Validity,88.26,134259,450
2023-05,Policy Admin,Timeliness,92.37,1221451,231
2023-05,Policy Admin,Consistency,90.71,1310211,326
2023-05,Claims,Completeness,84.73,1363538,445
2023-05,Claims,Uniqueness,84.39,1162940,527
2023-05,Claims,Validity,87.89,1243722,587
2023-05,Claims,Timeliness,87.56,1208409,416
2023-05,Claims,Consistency,89.55,253664,444
2023-05,Advisor,Completeness,88.34,1266397,357
2023-05,Advisor,Uniqueness,96.21,205241,7
2023-05,Advisor,Validity,95.1,1406455,139
2023-05,Advisor,Timeliness,97.53,1559948,0
2023-05,Advisor,Consistency,96.36,205750,123
2023-05,Employer,Completeness,89.18,1122861,538
2023-05,Employer,Uniqueness,91.26,1570364,214
2023-05,Employer,Validity,90.36,471111,287
2023-05,Employer,Timeliness,91.36,1538896,423
2023-05,Employer,Consistency,89.52,676930,399
2023-05,Transactions,Completeness,86.14,560950,291
2023-05,Transactions,Uniqueness,86.84,631440,358
