PolicyID,ClientID,EmployerID,AdvisorID,ProductCode,PolicyStartDate,PolicyEndDate,PolicyStatus,PaymentMode,UnderwritingClass,PlanTier,SumAssured,PremiumOrRate
POL9745427473,CLT904059332,EMP73963062,,GB_STD,2016-11-23,,Active,Monthly,,Family,,244.06
POL3360826564,CLT440117345,EMP01464118,ADV7137575,GB_STD,2023-10-17,,Active,Monthly,,Couple,,161.52
POL7066618862,CLT707311825,EMP77348517,ADV8268953,GB_HEALTH,2018-04-25,,Active,Bi-Weekly,,Single,,64.53
POL2126490532,CLT983003016,EMP47163795,ADV4636367,GB_STD,2020-11-13,2020-11-03,Cancelled,Bi-Weekly,,Family,,264.48
POL3816580693,CLT032606312,EMP72701347,ADV6983708,IND_LIFE_TERM,2025-06-03,,Active,Monthly,Standard,,73693,29.61
POL1754575139,CLT348446263,,ADV2465026,GB_LTD,2022-10-27,,Active,Monthly,,Couple,,147.24
POL5783218884,CLT423658491,EMP20597777,ADV7635177,GB_DENTAL,2018-06-12,,Active,Monthly,,Single,,103.99
POL9054818986,CLT129954944,EMP98729611,ADV2671161,GB_HEALTH,2016-04-05,,Active,Monthly,,Single,,90.31
POL6165160283,CLT445400028,,ADV6898787,IND_LIFE_TERM,2018-05-15,,Active,Monthly,Preferred,,179905,63.99
POL8112222166,CLT178974026,EMP04695351,ADV8504733,GB_HEALTH,2016-10-30,,Active,Monthly,,Single,,94.55
POL6614444364,CLT615190256,EMP84666210,,GB_DENTAL,2017-11-01,2022-08-13,Cancelled,Monthly,,Single,,92.2
POL8570811336,CLT415789227,EMP69464889,ADV8466922,GB_DENTAL,2017-03-22,,Active,Bi-Weekly,,Family,,157.34
POL5937804077,CLT302064269,,,IND_LIFE_TERM,2019-08-30,2024-05-23,Lapsed,Monthly,Standard,,58760,22.85
POL4110387885,CLT363748465,,,GB_HEALTH,2020-06-15,,Active,Monthly,,Family,,182.07
POL0830446414,CLT281180921,,ADV8714996,GB_LTD,2017-04-01,,Active,Monthly,,Family,,231.94
POL9018356268,CLT632910435,,ADV4987087,IND_LIFE_PERM,2016-04-22,2021-02-24,Cancelled,Monthly,Simplified,,100067,77.24
POL5410959129,CLT618228263,EMP71463009,ADV7793302,GB_HEALTH,2016-01-09,,Active,Monthly,,Single,,93.06
POL5339621080,CLT656961580,,ADV5386661,GB_HEALTH,2025-11-15,,Active,Monthly,,Couple,,100.7
POL3185088593,CLT649190791,EMP65942003,ADV1934129,IND_LIFE_PERM,2017-10-29,,Active,Monthly,Simplified,,37379,27.78
POL7362062655,CLT645742055,EMP99217310,ADV3878818,GB_HEALTH,2023-08-13,,Active,Monthly,,Single,,94.36
POL2609661153,CLT810937279,,ADV3842858,GB_DENTAL,2019-06-21,2021-11-09,Lapsed,Monthly,,Single,,89.08
POL9538200263,CLT056206373,,ADV6535026,IND_LIFE_TERM,2016-01-12,,Active,Monthly,Rated,,131424,31.75
POL9366267447,CLT982062699,,ADV0414474,IND_HEALTH,2021-07-01,2022-05-08,Lapsed,Monthly,Simplified,,212917,41.29
POL6492666985,CLT792819599,EMP74901923,,GB_STD,2023-02-22,,Active,Monthly,,Single,,101.3
POL5390474584,CLT366880849,EMP40349959,,GB_LTD,2023-10-28,,Active,Monthly,,Single,,106.11
POL6200333774,CLT437103031,,ADV4781631,GRS_RRSP,2019-11-17,,Active,Monthly,,,,0.59
POL0179914552,CLT981308511,EMP26705922,ADV4104514,GB_HEALTH,2023-07-03,,Active,Monthly,,Family,,241.28
POL5432635464,CLT516835974,EMP11386421,,GB_HEALTH,2019-01-10,,Active,Monthly,,Single,,87.93
POL3712833046,CLT684298427,EMP04945561,ADV5801806,GB_DENTAL,2025-07-22,,Active,Monthly,,Single,,71.23
POL7485783500,CLT076263420,EMP81596933,ADV2264945,GB_STD,2025-05-04,,Active,Monthly,,Single,,92.47
POL5278511317,CLT433838222,EMP03597751,ADV1603048,GB_HEALTH,2025-10-23,,Active,Monthly,,Single,,70.58
POL4745317982,CLT303485006,EMP27571824,ADV0676537,GB_DENTAL,2024-06-25,,Active,Monthly,,Single,,86.21
POL4794956547,CLT963632206,,ADV2761906,GB_HEALTH,2025-03-06,,Active,Monthly,,Family,,156.52
POL7300388047,CLT051429144,,ADV3607721,IND_LIFE_TERM,2022-09-17,,Active,Monthly,Preferred,,44875,15.9
POL9791798717,CLT788413961,,,GB_HEALTH,2016-03-08,,Active,Monthly,,Single,,113.42
POL5791416603,CLT739005806,EMP23262698,ADV8402053,GB_DENTAL,2019-07-09,,Active,Bi-Weekly,,Single,,123.19
POL9535608210,CLT676821145,EMP98992234,ADV8746433,IND_LIFE_PERM,2015-10-06,,Active,Monthly,Preferred,,48878,33.7
POL3018388109,CLT818492064,,,GB_HEALTH,2025-03-20,,Active,Bi-Weekly,,Single,,68.23
POL1789480063,CLT768493814,EMP00367831,ADV7959129,GB_HEALTH,2023-06-04,2018-07-02,Cancelled,Monthly,,Single,,69.34
POL6276015967,CLT287111278,EMP93439333,ADV7827139,GB_HEALTH,2018-06-30,,Active,Monthly,,Single,,79.14
POL1124176902,CLT223564872,EMP18999841,ADV0768830,GB_LTD,2025-07-07,,Active,Monthly,,Couple,,108.19
