RequestID,RequestDateKey,ClosedDateKey,ClientID,AdvisorID,EmployerID,RequestType,Touchpoint,Severity,SLA_Days,ActualDays,ResolutionStatus,CSAT
REQ393376864313,20230927,20231002,CLT906075473,ADV2886667,,Plan Setup,Chat,Low,7,5,Resolved,5
REQ900271237427,20240509,20240510,CLT210523598,,EMP57485223,Password Reset,Call Centre,Medium,1,1,Resolved,4
REQ012771161770,20240803,20240803,CLT591630371,ADV5978425,EMP35017365,Password Reset,Advisor Portal,Low,1,0,Resolved,
REQ334375954749,20230505,,CLT144531766,ADV2448770,,Password Reset,Client Portal/App,Low,1,,Pending,
REQ502027550976,20241014,,CLT739336693,ADV1473187,,Claim Inquiry,Chat,Medium,2,,Escalated,
REQ177754330341,20250321,20250324,CLT656427300,ADV2863666,EMP09266481,Payment Issue,Call Centre,Low,2,3,Resolved,4
REQ786167191013,20250102,20250114,CLT309402545,ADV9373984,,Appeal,Email,Medium,10,12,Resolved,3
REQ932154617867,20231118,20231128,CLT571427233,ADV2387605,EMP72772625,Appeal,Call Centre,Low,10,10,Resolved,
REQ064366492987,20250528,20250529,CLT900275544,ADV6156223,EMP45065004,Claim Inquiry,Client Portal/App,Low,2,1,Resolved,4
REQ205038621663,20250901,,CLT953652186,ADV9813773,,Payment Issue,Client Portal/App,Medium,2,,Escalated,
REQ628664364328,20230223,20230223,CLT075230679,ADV1467739,,Payment Issue,Call Centre,Low,2,0,Resolved,5
REQ741327743531,20240327,20240328,CLT513259765,ADV2807406,EMP08838788,Payment Issue,Email,Low,2,1,Resolved,
REQ810967110070,20250822,20250829,CLT688782628,ADV5842097,,Plan Setup,Email,Low,7,7,Resolved,
REQ249483435010,20241120,20241122,CLT418617784,,EMP52994055,Payment Issue,Call Centre,Low,2,2,Resolved,
REQ705586259710,20250125,20250127,CLT946541771,ADV7725926,,Payment Issue,Call Centre,Low,2,2,Resolved,4
REQ692864063656,20250213,20250216,CLT912421802,,,Address Change,Call Centre,Low,3,3,Resolved,
REQ682729579613,20240205,20240205,CLT544600432,ADV0528518,,Password Reset,Call Centre,Low,1,0,Resolved,
REQ036915013018,20230723,20230726,CLT389465147,ADV7465353,EMP22295496,Claim Inquiry,Client Portal/App,Low,2,3,Resolved,4
REQ046353149323,20231208,20231209,CLT737667115,,,Coverage Question,Chat,Low,2,1,Resolved,5
REQ470684475321,20250408,20250409,CLT563678154,ADV1973400,EMP94332778,Coverage Question,Client Portal/App,Low,2,1,Resolved,4
